Title,Year,Genre,Rating,Director,Cast,Votes,Description
Enter the Void,2012,"Drama, Fantasy",7.2,Gaspar Noé,"Nathaniel Brown, Paz de la Huerta, Cyril Roy, Olly Alexander",88188,"An American drug dealer living in Tokyo is betrayed by his best friend and killed in a drug deal. His soul, observing the repercussions of his death, seeks resurrection."
The Dictator,2012,Comedy,6.4,Larry Charles,"Sacha Baron Cohen, Anna Faris, John C. Reilly, Ben Kingsley",335580,The heroic story of a dictator who risked his life to ensure that democracy would never come to the country he so lovingly oppressed.
Eastern Promises,2012,"Crime, Drama, Thriller",7.6,David Cronenberg,"Naomi Watts, Viggo Mortensen, Armin Mueller-Stahl, Josef Altin",261554,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.
Akinjeon,2012,"Action, Crime, Thriller",6.9,Lee Won-tae,"Ma Dong-seok, Kim Mu-yeol, Jeon Bae-soo, Kim Sungkyu",22961,A crime boss teams up with a cop to track down a serial killer.
Kingpin,2012,"Comedy, Sport",6.9,Bobby Farrelly,"Peter Farrelly, Woody Harrelson, Randy Quaid, Bill Murray, Vanessa Angel",91195,"A star bowler whose career was prematurely ""cut off"" hopes to ride a new prodigy to success and riches."
Five Feet Apart,2012,"Drama, Romance",7.2,Justin Baldoni,"Haley Lu Richardson, Cole Sprouse, Moises Arias, Kimberly Hebert Gregory",82903,"A pair of teenagers with cystic fibrosis meet in a hospital and fall in love, though their disease means they must avoid close physical contact."
Before the Devil Knows You're Dead,1999,"Crime, Drama, Thriller",7.3,Sidney Lumet,"Philip Seymour Hoffman, Ethan Hawke, Albert Finney, Marisa Tomei",111881,"When two brothers organize the robbery of their parents' jewelry store the job goes horribly wrong, triggering a series of events that sends them, their father and one brother's wife barreling towards a shattering climax."
Jason Bourne,1999,"Action, Thriller",6.6,Paul Greengrass,"Matt Damon, Tommy Lee Jones, Alicia Vikander, Vincent Cassel",242383,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.
The Doors,1999,"Biography, Drama, Music",7.2,Oliver Stone,"Val Kilmer, Meg Ryan, Kyle MacLachlan, Frank Whaley",99262,"The story of the famous and influential 1960s rock bandThe Doorsand its lead singer and composer,Jim Morrison, from his days as a UCLA film student in Los Angeles, to his untimely death in Paris, France at age 27 in 1971."
Le salaire de la peur,1999,"Action, Adventure, Drama",4.5,Julien Leclercq,"Franck Gastambide, Alban Lenoir, Sofiane Zermani, Ana Girardot",2889,"In order to prevent a deadly explosion, an illicit crack team has 24 hours to drive two truckloads of nitroglycerine across a desert laden with danger."
The Babadook,1999,"Drama, Horror, Mystery",6.8,Jennifer Kent,"Essie Davis, Noah Wiseman, Daniel Henshall, Hayley McElhinney",247807,"A single mother and her child fall into a deep well of paranoia when an eerie children's book titled ""Mister Babadook"" manifests in their home."
Stopmotion,1999,Horror,5.5,Robert Morgan,"Aisling Franciosi, Stella Gonet, Tom York, Therica Wilson-Read",3822,A stop-motion animator struggles to control her demons after the loss of her overbearing mother.
Jungle Cruise,1999,"Action, Adventure, Comedy",6.6,Jaume Collet-Serra,"Dwayne Johnson, Emily Blunt, Edgar Ramírez, Jack Whitehall",212949,Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.
Porky's,1999,Comedy,6.2,Bob Clark,"Dan Monahan, Mark Herrier, Wyatt Knight, Roger Wilson",45791,"In 1954, a group of Florida high-school guys try to help their buddy lose his virginity, which leads them to seek revenge on a sleazy nightclub owner and his redneck sheriff brother for harassing them."
Wanderlust,1999,"Comedy, Romance",5.6,David Wain,"Jennifer Aniston, Paul Rudd, Malin Akerman, Justin Theroux",80626,"Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune where free love rules."
The Poughkeepsie Tapes,1999,"Horror, Mystery, Thriller",6,John Erick Dowdle,"Stacy Chbosky, Ben Messmer, Samantha Robson, Ivar Brogger",24866,"In an abandoned house in Poughkeepsie, New York murder investigators uncover hundreds of tapes showing decades of a serial killer's work."
